* Measurement data measured by REW V5.20.13
* Source: EXCL: Microfoon (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0,540
* Format: 1M Log Swept Sine, 1 sweep at -9,0 dBFS with no timing reference
* Dated: 18-mrt-2023 16:47:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 1.9m hoogte 4,9ms window; 
* Measurement: hor 80
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 38.329 154.2829
20.507813 38.292 153.8182
20.874023 38.260 153.3547
21.240234 38.231 152.8913
21.606445 38.206 152.4271
21.972656 38.183 151.9634
22.338867 38.164 151.4998
22.705078 38.147 151.0363
23.071289 38.134 150.5737
23.437500 38.122 150.1104
23.803711 38.113 149.6469
24.169922 38.105 149.1835
24.536133 38.100 148.7221
24.902344 38.097 148.2596
25.268555 38.095 147.7982
25.634766 38.095 147.3354
26.000977 38.096 146.8741
26.367188 38.098 146.4127
26.733399 38.102 145.9510
27.099610 38.107 145.4898
27.465821 38.114 145.0284
27.832032 38.121 144.5675
28.198243 38.129 144.1071
28.564454 38.138 143.6468
28.930665 38.147 143.1860
29.296876 38.158 142.7263
29.663087 38.169 142.2657
30.029298 38.181 141.8058
30.395509 38.194 141.3464
30.761720 38.207 140.8866
31.127931 38.220 140.4273
31.494142 38.234 139.9680
31.860353 38.249 139.5095
32.226563 38.263 139.0501
32.592774 38.278 138.5914
32.958985 38.294 138.1330
33.325196 38.309 137.6757
33.691407 38.325 137.2168
34.057618 38.341 136.7586
34.423829 38.358 136.3012
34.790040 38.374 135.8437
35.156251 38.391 135.3863
35.522462 38.407 134.9287
35.888673 38.424 134.4715
36.254884 38.441 134.0150
36.621095 38.458 133.5577
36.987306 38.476 133.1011
37.353517 38.493 132.6448
37.719728 38.511 132.1880
38.085939 38.529 131.7321
38.452150 38.547 131.2758
38.818361 38.566 130.8200
39.184572 38.584 130.3643
39.550783 38.602 129.9085
39.916994 38.621 129.4528
40.283205 38.639 128.9979
40.649416 38.657 128.5428
41.015627 38.675 128.0880
41.381838 38.693 127.6325
41.748049 38.711 127.1782
42.114260 38.728 126.7232
42.480471 38.746 126.2688
42.846682 38.764 125.8149
43.212893 38.782 125.3606
43.579103 38.800 124.9064
43.945314 38.818 124.4534
44.311525 38.836 123.9993
44.677736 38.854 123.5457
45.043947 38.873 123.0924
45.410158 38.892 122.6386
45.776369 38.911 122.1848
46.142580 38.930 121.7319
46.508791 38.950 121.2788
46.875002 38.971 120.8258
47.241213 38.991 120.3739
47.607424 39.012 119.9210
47.973635 39.033 119.4687
48.339846 39.054 119.0169
48.706057 39.076 118.5638
49.072268 39.098 118.1109
49.438479 39.120 117.6595
49.804690 39.143 117.2072
50.170901 39.165 116.7549
50.537112 39.188 116.3036
50.903323 39.211 115.8524
51.269534 39.234 115.4004
51.635745 39.257 114.9486
52.001956 39.281 114.4971
52.368167 39.304 114.0454
52.734378 39.328 113.5940
53.100589 39.351 113.1427
53.466800 39.375 112.6920
53.833011 39.398 112.2408
54.199222 39.421 111.7896
54.565432 39.444 111.3388
54.931643 39.467 110.8881
55.297854 39.489 110.4374
55.664065 39.511 109.9862
56.030276 39.533 109.5355
56.396487 39.555 109.0856
56.762698 39.576 108.6351
57.128909 39.597 108.1847
57.495120 39.618 107.7338
57.861331 39.639 107.2837
58.227542 39.659 106.8335
58.593753 39.679 106.3832
58.959964 39.699 105.9339
59.326175 39.719 105.4837
59.692386 39.738 105.0327
60.058597 39.758 104.5833
60.424808 39.777 104.1335
60.791019 39.797 103.6834
61.157230 39.816 103.2337
61.523441 39.835 102.7831
61.889652 39.854 102.3339
62.255863 39.873 101.8843
62.622074 39.891 101.4345
62.988285 39.910 100.9846
63.354496 39.929 100.5350
63.720707 39.947 100.0854
64.086918 39.966 99.6352
64.453129 39.985 99.1866
64.819340 40.003 98.7365
65.185551 40.022 98.2870
65.551762 40.040 97.8373
65.917972 40.059 97.3881
66.284183 40.078 96.9387
66.650394 40.096 96.4893
67.016605 40.115 96.0399
67.382816 40.134 95.5896
67.749027 40.153 95.1404
68.115238 40.172 94.6911
68.481449 40.192 94.2423
68.847660 40.211 93.7925
69.213871 40.230 93.3430
69.580082 40.250 92.8936
69.946293 40.270 92.4452
70.312504 40.290 91.9950
70.678715 40.310 91.5457
71.044926 40.330 91.0961
71.411137 40.350 90.6467
71.777348 40.370 90.1980
72.143559 40.390 89.7483
72.509770 40.411 89.2985
72.875981 40.431 88.8492
73.242192 40.451 88.4001
73.608403 40.471 87.9504
73.974614 40.492 87.5009
74.340825 40.512 87.0520
74.707036 40.532 86.6026
75.073247 40.552 86.1528
75.439458 40.572 85.7039
75.805669 40.592 85.2542
76.171880 40.612 84.8052
76.538091 40.632 84.3548
76.904301 40.651 83.9055
77.270512 40.671 83.4564
77.636723 40.691 83.0068
78.002934 40.710 82.5569
78.369145 40.729 82.1072
78.735356 40.749 81.6581
79.101567 40.768 81.2079
79.467778 40.787 80.7590
79.833989 40.806 80.3091
80.200200 40.825 79.8594
80.566411 40.843 79.4099
80.932622 40.862 78.9603
81.298833 40.881 78.5104
81.665044 40.899 78.0610
82.031255 40.917 77.6107
82.397466 40.935 77.1610
82.763677 40.953 76.7109
83.129888 40.971 76.2619
83.496099 40.989 75.8118
83.862310 41.006 75.3619
84.228521 41.024 74.9121
84.594732 41.041 74.4618
84.960943 41.058 74.0122
85.327154 41.075 73.5622
85.693365 41.092 73.1125
86.059576 41.109 72.6626
86.425787 41.126 72.2125
86.791998 41.142 71.7623
87.158209 41.159 71.3128
87.524420 41.175 70.8626
87.890631 41.191 70.4128
88.256841 41.207 69.9626
88.623052 41.223 69.5123
88.989263 41.239 69.0617
89.355474 41.255 68.6125
89.721685 41.271 68.1620
90.087896 41.286 67.7116
90.454107 41.302 67.2618
90.820318 41.317 66.8116
91.186529 41.333 66.3613
91.552740 41.348 65.9107
91.918951 41.363 65.4611
92.285162 41.379 65.0110
92.651373 41.394 64.5603
93.017584 41.409 64.1104
93.383795 41.424 63.6606
93.750006 41.439 63.2096
94.116217 41.454 62.7592
94.482428 41.469 62.3086
94.848639 41.484 61.8584
95.214850 41.499 61.4090
95.581061 41.513 60.9587
95.947272 41.528 60.5082
96.313483 41.542 60.0584
96.679694 41.557 59.6082
97.045905 41.571 59.1577
97.412116 41.585 58.7065
97.778327 41.599 58.2567
98.144538 41.613 57.8068
98.510749 41.626 57.3565
98.876960 41.640 56.9068
99.243170 41.653 56.4567
99.609381 41.667 56.0068
99.975592 41.680 55.5564
100.341803 41.693 55.1063
100.708014 41.705 54.6554
101.074225 41.718 54.2060
101.440436 41.730 53.7561
101.806647 41.743 53.3068
102.172858 41.755 52.8557
102.539069 41.767 52.4061
102.905280 41.779 51.9562
103.271491 41.790 51.5066
103.637702 41.802 51.0570
104.003913 41.813 50.6071
104.370124 41.824 50.1575
104.736335 41.835 49.7081
105.102546 41.845 49.2582
105.468757 41.856 48.8081
105.834968 41.866 48.3593
106.201179 41.876 47.9097
106.567390 41.886 47.4606
106.933601 41.896 47.0110
107.299812 41.905 46.5622
107.666023 41.915 46.1128
108.032234 41.924 45.6640
108.398445 41.932 45.2147
108.764656 41.941 44.7660
109.130867 41.949 44.3168
109.497078 41.957 43.8685
109.863289 41.965 43.4197
110.229500 41.973 42.9714
110.595710 41.981 42.5229
110.961921 41.988 42.0750
111.328132 41.995 41.6266
111.694343 42.001 41.1781
112.060554 42.008 40.7301
112.426765 42.014 40.2821
112.792976 42.020 39.8345
113.159187 42.026 39.3872
113.525398 42.031 38.9395
113.891609 42.037 38.4924
114.257820 42.042 38.0453
114.624031 42.046 37.5979
114.990242 42.051 37.1505
115.356453 42.055 36.7044
115.722664 42.059 36.2575
116.088875 42.062 35.8109
116.455086 42.066 35.3645
116.821297 42.069 34.9187
117.187508 42.072 34.4725
117.553719 42.074 34.0276
117.919930 42.077 33.5804
118.286141 42.079 33.1359
118.652352 42.080 32.6906
119.018563 42.082 32.2455
119.384774 42.083 31.8006
119.750985 42.084 31.3560
120.117196 42.085 30.9112
120.483407 42.085 30.4679
120.849618 42.085 30.0236
121.215829 42.085 29.5797
121.582040 42.084 29.1361
121.948250 42.083 28.6930
122.314461 42.082 28.2503
122.680672 42.081 27.8073
123.046883 42.079 27.3655
123.413094 42.077 26.9227
123.779305 42.075 26.4809
124.145516 42.073 26.0395
124.511727 42.070 25.5978
124.877938 42.067 25.1565
125.244149 42.063 24.7168
125.610360 42.059 24.2756
125.976571 42.055 23.8358
126.342782 42.051 23.3962
126.708993 42.046 22.9560
127.075204 42.041 22.5178
127.441415 42.035 22.0787
127.807626 42.030 21.6400
128.173837 42.024 21.2027
128.540048 42.017 20.7652
128.906259 42.010 20.3273
129.272470 42.003 19.8902
129.638681 41.996 19.4538
130.004892 41.988 19.0181
130.371103 41.980 18.5822
130.737314 41.971 18.1472
131.103525 41.962 17.7128
131.469736 41.953 17.2776
131.835947 41.943 16.8447
132.202158 41.933 16.4114
132.568369 41.922 15.9780
132.934579 41.912 15.5454
133.300790 41.900 15.1141
133.667001 41.889 14.6825
134.033212 41.877 14.2517
134.399423 41.864 13.8211
134.765634 41.851 13.3922
135.131845 41.838 12.9629
135.498056 41.824 12.5339
135.864267 41.810 12.1056
136.230478 41.795 11.6779
136.596689 41.780 11.2514
136.962900 41.765 10.8254
137.329111 41.749 10.3997
137.695322 41.733 9.9748
138.061533 41.716 9.5507
138.427744 41.699 9.1270
138.793955 41.681 8.7041
139.160166 41.662 8.2824
139.526377 41.644 7.8607
139.892588 41.624 7.4400
140.258799 41.605 7.0203
140.625010 41.585 6.6010
140.991221 41.564 6.1829
141.357432 41.543 5.7651
141.723643 41.521 5.3481
142.089854 41.498 4.9332
142.456065 41.475 4.5181
142.822276 41.452 4.1041
143.188487 41.428 3.6911
143.554698 41.403 3.2793
143.920909 41.378 2.8682
144.287119 41.352 2.4576
144.653330 41.326 2.0488
145.019541 41.299 1.6403
145.385752 41.271 1.2337
145.751963 41.243 0.8285
146.118174 41.214 0.4235
146.484385 41.185 0.0203
146.850596 41.155 -0.3820
147.216807 41.124 -0.7838
147.583018 41.092 -1.1844
147.949229 41.060 -1.5823
148.315440 41.027 -1.9798
148.681651 40.993 -2.3756
149.047862 40.959 -2.7702
149.414073 40.924 -3.1629
149.780284 40.888 -3.5550
150.146495 40.851 -3.9448
150.512706 40.814 -4.3330
150.878917 40.775 -4.7205
151.245128 40.736 -5.1060
151.611339 40.696 -5.4900
151.977550 40.655 -5.8720
152.343761 40.614 -6.2524
152.709972 40.571 -6.6305
153.076183 40.528 -7.0076
153.442394 40.483 -7.3821
153.808605 40.438 -7.7549
154.174816 40.392 -8.1253
154.541027 40.344 -8.4934
154.907238 40.296 -8.8596
155.273448 40.247 -9.2239
155.639659 40.197 -9.5856
156.005870 40.145 -9.9451
156.372081 40.093 -10.3029
156.738292 40.039 -10.6564
157.104503 39.984 -11.0085
157.470714 39.929 -11.3574
157.836925 39.872 -11.7040
158.203136 39.813 -12.0475
158.569347 39.754 -12.3871
158.935558 39.693 -12.7244
159.301769 39.632 -13.0591
159.667980 39.568 -13.3892
160.034191 39.504 -13.7167
160.400402 39.438 -14.0400
160.766613 39.370 -14.3595
161.132824 39.301 -14.6753
161.499035 39.231 -14.9881
161.865246 39.159 -15.2959
162.231457 39.086 -15.5990
162.597668 39.011 -15.8980
162.963879 38.934 -16.1934
163.330090 38.856 -16.4820
163.696301 38.776 -16.7663
164.062512 38.694 -17.0457
164.428723 38.611 -17.3191
164.794934 38.525 -17.5875
165.161145 38.438 -17.8495
165.527356 38.348 -18.1041
165.893567 38.257 -18.3542
166.259778 38.163 -18.5956
166.625988 38.068 -18.8306
166.992199 37.970 -19.0586
167.358410 37.870 -19.2779
167.724621 37.768 -19.4883
168.090832 37.663 -19.6920
168.457043 37.556 -19.8850
168.823254 37.446 -20.0691
169.189465 37.333 -20.2425
169.555676 37.218 -20.4058
169.921887 37.100 -20.5560
170.288098 36.979 -20.6969
170.654309 36.855 -20.8246
