0.04989+0.54282i,0.061212-0.04886i
0.038558+0.53679i,0.071079-0.016958i
0.028606+0.53137i,0.066136+0.012065i
0.019986+0.52661i,0.05104+0.033105i
0.012657+0.52251i,0.03103+0.044301i
0.0065822+0.51911i,0.010448+0.046246i
0.0017309+0.51643i,-0.0079279+0.040899i
-0.0019215+0.51448i,-0.022922+0.030645i
-0.0043937+0.51327i,-0.034649+0.017702i
-0.005698+0.51281i,-0.044082+0.0038841i
-0.0058404+0.5131i,-0.052643-0.0093489i
-0.0048209+0.51414i,-0.061844-0.020682i
-0.002633+0.51593i,-0.072951-0.028681i
0.00073577+0.51845i,-0.086618-0.031594i
0.0053037+0.5217i,-0.10246-0.027347i
0.011095+0.52566i,-0.11864-0.013855i
0.018138+0.5303i,-0.1316+0.010277i
0.026468+0.5356i,-0.13623+0.044713i
0.036123+0.54152i,-0.12679+0.086283i
0.047146+0.54805i,-0.09861+0.12834i
0.059581+0.55512i,-0.050289+0.16117i
0.073476+0.56271i,0.014263+0.17388i
0.088881+0.57076i,0.085066+0.15756i
0.10584+0.57923i,0.14725+0.10869i
0.12441+0.58804i,0.18415+0.031787i
0.14463+0.59715i,0.1816-0.059824i
0.16653+0.60649i,0.13237-0.14523i
0.19015+0.61598i,0.040532-0.19912i
0.21549+0.62557i,-0.075129-0.19774i
0.24257+0.63517i,-0.18055-0.12836i
0.27136+0.64471i,-0.23307-0.00078389i
0.3018+0.65411i,-0.19813+0.14574i
0.33381+0.66329i,-0.0717+0.2499i
0.36725+0.67218i,0.10525+0.25406i
0.40191+0.6807i,0.25583+0.13864i
0.43755+0.68877i,0.3026-0.057267i
0.47379+0.69633i,0.21151-0.24804i
0.5102+0.7033i,0.015053-0.3444i
0.54621+0.70962i,-0.20324-0.30126i
0.58115+0.71523i,-0.35388-0.1394i
0.61423+0.72007i,-0.38642+0.07144i
0.64459+0.72411i,-0.30707+0.2533i
0.67127+0.7273i,-0.16363+0.35671i
0.69331+0.72962i,-0.013835+0.37375i
0.70979+0.73103i,0.10117+0.32744i
0.71995+0.73154i,0.1666+0.25115i
0.72319+0.73112i,0.18897+0.17221i
0.71925+0.7298i,0.18495+0.10595i
0.70819+0.72757i,0.17161+0.058115i
0.69042+0.72447i,0.16072+0.030333i
0.66666+0.72053i,0.15609+0.023819i
0.63789+0.71577i,0.15323+0.039259i
0.60518+0.71026i,0.14139+0.073474i
0.56966+0.70404i,0.1089+0.11579i
0.53239+0.69716i,0.050843+0.148i
0.49429+0.6897i,-0.024568+0.15032i
0.45613+0.68172i,-0.095748+0.1116i
0.41854+0.6733i,-0.13603+0.038067i
0.38197+0.66449i,-0.1273-0.046068i
0.34676+0.65539i,-0.07123-0.10839i
0.31316+0.64606i,0.0093142-0.12405i
0.28131+0.63659i,0.080456-0.088397i
0.25129+0.62705i,0.11349-0.019246i
0.22315+0.61751i,0.097932+0.052476i
0.1969+0.60805i,0.044629+0.097739i
0.1725+0.59873i,-0.021548+0.10179i
0.14994+0.58963i,-0.074267+0.068161i
0.12915+0.5808i,-0.096609+0.013955i
0.11009+0.57232i,-0.085668-0.039536i
0.092694+0.56423i,-0.050428-0.075634i
0.076901+0.55658i,-0.0056438-0.086971i
0.062652+0.54943i,0.034621-0.075425i
0.071346+0.55528i,0.0277-0.059394i
0.059215+0.54918i,0.047383-0.035381i
0.048577+0.5437i,0.052129-0.0080642i
0.039379+0.53887i,0.044174+0.015763i
0.031571+0.53473i,0.027733+0.032233i
0.02511+0.53129i,0.007176+0.040282i
0.019962+0.52858i,-0.014093+0.040858i
0.016099+0.52661i,-0.034052+0.036006i
0.013498+0.52539i,-0.051964+0.028144i
0.012147+0.52493i,-0.067997+0.019648i
0.012039+0.52523i,-0.082754+0.012708i
0.013173+0.52629i,-0.096792+0.0093258i
0.015558+0.52811i,-0.11018+0.011344i
0.019207+0.53068i,-0.12211+0.020348i
0.024142+0.53397i,-0.13068+0.037363i
0.030391+0.53799i,-0.13287+0.062316i
0.037987+0.5427i,-0.12498+0.093392i
0.04697+0.54807i,-0.10363+0.12653i
0.057387+0.55408i,-0.067026+0.15546i
0.069287+0.5607i,-0.016451+0.17261i
0.082727+0.56787i,0.043012+0.17086i
0.097765+0.57556i,0.10282+0.14558i
0.11446+0.58373i,0.15243+0.09621i
0.13289+0.5923i,0.18119+0.026696i
0.1531+0.60124i,0.17965-0.054709i
0.17517+0.61047i,0.14053-0.13507i
0.19915+0.61993i,0.061227-0.19554i
0.2251+0.62955i,-0.05029-0.21187i
0.25307+0.63926i,-0.16808-0.16148i
0.28308+0.64898i,-0.24714-0.039426i
0.31515+0.65864i,-0.23808+0.12422i
0.34925+0.66816i,-0.11788+0.26187i
0.38534+0.67746i,0.080596+0.29473i
0.4233+0.68646i,0.26752+0.18149i
0.46296+0.69509i,0.33763-0.042116i
0.50406+0.70326i,0.23525-0.26818i
0.54625+0.71091i,-0.0022634-0.37342i
0.58902+0.71796i,-0.25889-0.29335i
0.63174+0.72435i,-0.40641-0.06165i
0.6736+0.73003i,-0.37698+0.21292i
0.71363+0.73493i,-0.19314+0.41259i
0.75071+0.73901i,0.058356+0.47202i
0.78357+0.74224i,0.28226+0.39835i
0.81091+0.74457i,0.42014+0.24845i
0.83146+0.746i,0.46292+0.088615i
0.84411+0.7465i,0.43561-0.035606i
0.84804+0.74607i,0.37306-0.10832i
0.84288+0.74472i,0.30309-0.13603i
0.82872+0.74246i,0.24172-0.13498i
0.80619+0.73932i,0.19618-0.12062i
0.77634+0.73531i,0.16915-0.1015i
0.74057+0.73049i,0.15981-0.07754i
0.70037+0.7249i,0.16181-0.042881i
0.65725+0.7186i,0.16167+0.0072527i
0.61255+0.71163i,0.14205+0.068431i
0.56742+0.70407i,0.09107+0.12345i
0.52275+0.69598i,0.012635+0.14808i
0.47922+0.68744i,-0.070472+0.12485i
0.4373+0.67852i,-0.12574+0.056526i
0.39733+0.6693i,-0.12862-0.031i
0.35948+0.65985i,-0.077761-0.10021i
0.32386+0.65026i,0.0026855-0.12153i
0.29052+0.64059i,0.075504-0.088713i
0.25945+0.63093i,0.10967-0.020779i
0.2306+0.62134i,0.094737+0.049527i
0.20392+0.6119i,0.042977+0.092802i
0.17933+0.60269i,-0.019847+0.095608i
0.15676+0.59375i,-0.068161+0.063185i
0.13613+0.58515i,-0.087069+0.013235i
0.11735+0.57696i,-0.075646-0.03402i
0.10035+0.56921i,-0.043648-0.064036i
0.085034+0.56198i,-0.0050868-0.071509i
0.090572+0.56607i,0.018387-0.047079i
0.077716+0.5599i,0.038946-0.026234i
0.066461+0.55436i,0.045488+0.00064997i
0.056743+0.54948i,0.038768+0.026463i
0.048507+0.5453i,0.02221+0.046574i
0.041705+0.54183i,4.9424e-05+0.059155i
0.036297+0.53909i,-0.023984+0.06465i
0.032253+0.53711i,-0.047279+0.064921i
0.029547+0.53588i,-0.068382+0.062458i
0.028166+0.53542i,-0.086677+0.059828i
0.028101+0.53573i,-0.10193+0.059345i
0.029354+0.53682i,-0.11382+0.062879i
0.031933+0.53866i,-0.12158+0.071692i
0.035855+0.54126i,-0.12386+0.086205i
0.041143+0.5446i,-0.11877+0.1057i
0.047829+0.54867i,-0.10434+0.12807i
0.055953+0.55344i,-0.079225+0.14977i
0.06556+0.55888i,-0.043542+0.16624i
0.076704+0.56497i,0.00060469+0.17284i
0.089445+0.57166i,0.049265+0.16595i
0.10385+0.57892i,0.097547+0.14373i
0.11998+0.58671i,0.14063+0.10569i
0.13793+0.59497i,0.17365+0.05161i
0.15777+0.60364i,0.18963-0.018859i
0.17959+0.61268i,0.17689-0.10307i
0.20348+0.62202i,0.12033-0.18841i
0.22952+0.63158i,0.011093-0.24614i
0.25779+0.64131i,-0.1364-0.23556i
0.28839+0.65113i,-0.27208-0.12602i
0.32137+0.66096i,-0.32063+0.070051i
0.35681+0.67073i,-0.22286+0.27784i
0.39471+0.68035i,0.010929+0.38271i
0.43508+0.68975i,0.27844+0.29746i
0.47786+0.69885i,0.42785+0.034602i
0.52292+0.70757i,0.35218-0.27657i
0.57003+0.71583i,0.071391-0.45741i
0.61883+0.72355i,-0.26601-0.39352i
0.6688+0.73068i,-0.47181-0.11209i
0.71922+0.73714i,-0.43474+0.23595i
0.76915+0.74286i,-0.1808+0.47326i
0.81736+0.74781i,0.15878+0.49858i
0.86241+0.75193i,0.43659+0.32637i
0.90262+0.75519i,0.5669+0.052295i
0.93621+0.75754i,0.54889-0.21484i
0.96142+0.75897i,0.439-0.40483i
0.9767+0.75947i,0.30601-0.49916i
0.98095+0.75904i,0.19875-0.51456i
0.97367+0.75766i,0.13649-0.47912i
0.95512+0.75537i,0.11539-0.41679i
0.92628+0.75218i,0.1206-0.34316i
0.88871+0.74813i,0.13663-0.26753i
0.84437+0.74325i,0.15329-0.19498i
0.7953+0.73759i,0.1659-0.1265i
0.74344+0.73121i,0.17112-0.059359i
0.69046+0.72416i,0.16242+0.0089211i
0.63768+0.71651i,0.13055+0.07408i
0.5861+0.70833i,0.070914+0.12182i
0.5364+0.69969i,-0.0074124+0.13342i
0.48903+0.69067i,-0.080084+0.098865i
0.44426+0.68134i,-0.11802+0.028109i
0.40221+0.67179i,-0.10453-0.049563i
0.36292+0.66208i,-0.046919-0.09972i
0.32637+0.65231i,0.026221-0.1015i
0.29248+0.64254i,0.080585-0.0584i
0.26117+0.63285i,0.094065+0.005384i
0.23234+0.6233i,0.066174+0.059341i
0.20586+0.61398i,0.014881+0.082136i
0.18164+0.60495i,-0.035047+0.069632i
0.15955+0.59626i,-0.06433+0.033037i
0.1395+0.58797i,-0.065929-0.0093727i
0.12138+0.58015i,-0.04473-0.041298i
0.1051+0.57283i,-0.012465-0.053976i
0.10703+0.57511i,0.039877-0.041141i
0.093555+0.56889i,0.060009-0.013567i
0.081774+0.5633i,0.064747+0.019924i
0.071616+0.55839i,0.05508+0.051916i
0.063021+0.55417i,0.034825+0.077558i
0.055935+0.55067i,0.0087212+0.094948i
0.050314+0.54792i,-0.018949+0.10459i
0.046125+0.54592i,-0.045025+0.10848i
0.043343+0.54469i,-0.067535+0.10925i
0.04195+0.54423i,-0.085401+0.10945i
0.04194+0.54455i,-0.098023+0.11119i
0.043313+0.54565i,-0.1049+0.11582i
0.04608+0.54752i,-0.10546+0.12379i
0.050259+0.55016i,-0.099017+0.13455i
0.055877+0.55354i,-0.085116+0.14659i
0.06297+0.55765i,-0.06385+0.15769i
0.071582+0.56247i,-0.036161+0.16549i
0.081765+0.56797i,-0.0036923+0.16815i
0.093582+0.57412i,0.03197+0.16481i
0.1071+0.58088i,0.07038+0.15499i
0.12239+0.58822i,0.11256+0.13674i
0.13955+0.59608i,0.15892+0.10408i
0.15867+0.60442i,0.20409+0.046819i
0.17984+0.61318i,0.23085-0.043995i
0.20317+0.62231i,0.20956-0.16347i
0.22878+0.63174i,0.11074-0.2792i
0.25678+0.6414i,-0.068288-0.33043i
0.28729+0.65122i,-0.27704-0.25369i
0.32044+0.66113i,-0.41269-0.032236i
0.35635+0.67105i,-0.36801+0.26127i
0.39512+0.68091i,-0.11195+0.4739i
0.43684+0.69062i,0.25388+0.45394i
0.48158+0.70011i,0.52497+0.16472i
0.52934+0.70929i,0.51621-0.25706i
0.58006+0.71808i,0.19928-0.56486i
0.63358+0.72641i,-0.25608-0.56089i
0.68955+0.7342i,-0.58348-0.23492i
0.74747+0.74139i,-0.59428+0.22644i
0.80652+0.7479i,-0.29326+0.56639i
0.86559+0.75368i,0.14417+0.61945i
0.92319+0.75866i,0.49896+0.39068i
0.97741+0.76281i,0.63536+0.015801i
1.026+0.76609i,0.54729-0.34286i
1.0666+0.76846i,0.32094-0.58247i
1.0967+0.7699i,0.06479-0.68441i
1.1143+0.77039i,-0.14157-0.68795i
1.1178+0.76994i,-0.26188-0.64783i
1.1069+0.76855i,-0.29257-0.60321i
1.0821+0.76623i,-0.24717-0.56655i
1.045+0.763i,-0.14718-0.52844i
0.998+0.75891i,-0.019743-0.47081i
0.94366+0.75398i,0.10427-0.38105i
0.88469+0.74826i,0.19601-0.26098i
0.82344+0.74181i,0.23657-0.12691i
0.76184+0.73469i,0.22198-0.0023289i
0.70133+0.72697i,0.16222+0.091126i
0.64292+0.7187i,0.076367+0.1394i
0.58726+0.70998i,-0.012303+0.13814i
0.53472+0.70087i,-0.080287+0.093785i
0.48546+0.69146i,-0.10912+0.024184i
0.43954+0.68181i,-0.092395-0.044342i
0.3969+0.67202i,-0.040561-0.085682i
0.35745+0.66215i,0.021769-0.085435i
0.32104+0.65228i,0.066734-0.048049i
0.28754+0.6425i,0.076574+0.0057512i
0.2568+0.63287i,0.051358+0.050079i
0.22867+0.62346i,0.0069001+0.06669i
0.20299+0.61435i,-0.034842+0.052253i
0.17964+0.60558i,-0.056613+0.017236i
0.15848+0.59722i,-0.052282-0.021283i
0.1394+0.58932i,-0.026879-0.047955i
0.12228+0.58194i,0.0079685-0.054574i
0.12024+0.58238i,0.077724-0.055663i
0.10628+0.57611i,0.10105-0.013755i
0.094085+0.57049i,0.10432+0.032664i
0.083585+0.56554i,0.090246+0.07501i
0.074713+0.5613i,0.064299+0.10813i
0.067412+0.55778i,0.032548+0.13038i
0.061635+0.55501i,0.00019135+0.14273i
0.057346+0.553i,-0.029062+0.14768i
0.054518+0.55177i,-0.052999+0.14816i
0.053135+0.55131i,-0.07056+0.14684i
0.053189+0.55164i,-0.081426+0.14569i
0.054681+0.55276i,-0.085696+0.14577i
0.057624+0.55465i,-0.083746+0.14733i
0.062038+0.55731i,-0.076243+0.14995i
0.067952+0.56073i,-0.064182+0.15302i
0.075408+0.56488i,-0.048725+0.15625i
0.084454+0.56974i,-0.030578+0.16021i
0.095147+0.57529i,-0.0088358+0.16612i
0.10756+0.58149i,0.020192+0.1744i
0.12176+0.58831i,0.062867+0.18162i
0.13785+0.59571i,0.12491+0.17684i
0.15592+0.60364i,0.20387+0.14074i
0.17607+0.61204i,0.27971+0.052103i
0.19843+0.62088i,0.31088-0.095788i
0.22312+0.63008i,0.24646-0.27405i
0.25029+0.63958i,0.058848-0.40874i
0.28008+0.64931i,-0.21542-0.40328i
0.31266+0.65921i,-0.45927-0.19842i
0.34818+0.6692i,-0.51747+0.15915i
0.38683+0.6792i,-0.29678+0.49814i
0.42878+0.68913i,0.13537+0.60019i
0.47418+0.69891i,0.54475+0.34989i
0.52319+0.70846i,0.65996-0.14792i
0.5759+0.71771i,0.36778-0.59794i
0.63236+0.72657i,-0.17809-0.70223i
0.69247+0.73496i,-0.64212-0.37516i
0.75598+0.7428i,-0.73547+0.18874i
0.82238+0.75004i,-0.41011+0.65247i
0.89083+0.75659i,0.12996+0.76582i
0.96+0.7624i,0.58916+0.50609i
1.028+0.76742i,0.7688+0.045358i
1.0925+0.7716i,0.64891-0.39303i
1.1503+0.77489i,0.34181-0.6636i
1.1982+0.77727i,-0.0089365-0.73985i
1.2328+0.77871i,-0.30318-0.6796i
1.2514+0.7792i,-0.50273-0.56758i
1.2524+0.77874i,-0.61028-0.47441i
1.2355+0.77733i,-0.63905-0.43967i
1.2021+0.77499i,-0.59386-0.46878i
1.1547+0.77173i,-0.47141-0.53515i
1.0967+0.76759i,-0.27581-0.58846i
1.0315+0.76262i,-0.036358-0.57386i
0.96225+0.75685i,0.18914-0.45975i
0.89173+0.75035i,0.33387-0.25963i
0.82196+0.74317i,0.35508-0.031129i
0.75436+0.73538i,0.25848+0.15106i
0.68985+0.72705i,0.096406+0.23273i
0.62897+0.71826i,-0.059123+0.20487i
0.57198+0.70908i,-0.15051+0.10265i
0.51892+0.69959i,-0.15663-0.016491i
0.46975+0.68987i,-0.094502-0.10055i
0.42433+0.68i,-0.0046662-0.12256i
0.38248+0.67006i,0.0696-0.085994i
0.34401+0.66012i,0.09979-0.017357i
0.30872+0.65026i,0.080603+0.048651i
0.27644+0.64056i,0.02782+0.084421i
0.24695+0.63108i,-0.03177+0.079172i
0.22011+0.62189i,-0.072985+0.040172i
0.19574+0.61306i,-0.081738-0.013496i
0.1737+0.60464i,-0.058133-0.060485i
0.15385+0.59669i,-0.013369-0.085378i
0.13607+0.58925i,0.036668-0.082583i
0.12982+0.58782i,0.11717-0.08143i
0.11552+0.58152i,0.14498-0.022309i
0.10304+0.57587i,0.1461+0.038851i
0.092312+0.5709i,0.126+0.091743i
0.083258+0.56664i,0.092658+0.13098i
0.075819+0.5631i,0.05391+0.1555i
0.069948+0.56032i,0.015943+0.16721i
0.065607+0.55831i,-0.01722+0.16942i
0.06277+0.55708i,-0.043549+0.16568i
0.061417+0.55663i,-0.062528+0.15901i
0.061543+0.55697i,-0.074659+0.15158i
0.06315+0.5581i,-0.081082+0.14477i
0.066252+0.56001i,-0.083319+0.13945i
0.07087+0.56269i,-0.083019+0.13651i
0.077039+0.56613i,-0.081484+0.13746i
0.084801+0.57031i,-0.078738+0.14476i
0.09421+0.57521i,-0.072116+0.16143i
0.10533+0.5808i,-0.054884+0.18914i
0.11823+0.58704i,-0.016259+0.22445i
0.13301+0.59391i,0.055076+0.25409i
0.14976+0.60135i,0.16241+0.25255i
0.16858+0.60933i,0.28885+0.1872i
0.1896+0.6178i,0.38859+0.035444i
0.21297+0.62668i,0.3938-0.18887i
0.23881+0.63594i,0.24652-0.4147i
0.26731+0.6455i,-0.050203-0.52363i
0.29864+0.65529i,-0.39361-0.40741i
0.333+0.66525i,-0.60041-0.056086i
0.37061+0.6753i,-0.5058+0.3841i
0.41169+0.68535i,-0.098629+0.65518i
0.45648+0.69534i,0.41357+0.54671i
0.50524+0.70518i,0.70053+0.07425i
0.55821+0.71479i,0.53795-0.47877i
0.6156+0.72408i,0.0011329-0.73361i
